2026-04-25T22:35:55.037643Z [info     ] Starting chunking pipeline     [markdown2chunks.pipeline] input_dir='G:\\Program Files\\AI coding\\知识萃取\\新能源\\输出' output_dir='G:\\Program Files\\AI coding\\知识萃取\\新能源\\输出\\chunks'
2026-04-25T22:35:55.042392Z [info     ] Found files                    [markdown2chunks.pipeline] json=1 markdown=26
2026-04-25T22:35:55.043408Z [info     ] Processing markdown            [markdown2chunks.pipeline] file=报告-《关于优化集中式新能源发电企业市场报价的通知（试行）》深度解读与战略分析.md
2026-04-25T22:35:55.184286Z [info     ] Processed markdown             [markdown2chunks.pipeline] chunks=1 file=报告-《关于优化集中式新能源发电企业市场报价的通知（试行）》深度解读与战略分析.md
2026-04-25T22:35:55.184286Z [info     ] Processing markdown            [markdown2chunks.pipeline] file=报告-三一硅能非洲调研报告：在非洲如何做矿山微电网？.md
2026-04-25T22:35:55.191796Z [info     ] Processed markdown             [markdown2chunks.pipeline] chunks=1 file=报告-三一硅能非洲调研报告：在非洲如何做矿山微电网？.md
2026-04-25T22:35:55.192834Z [info     ] Processing markdown            [markdown2chunks.pipeline] file=报告-乌克兰新能源市场机会调研报告.md
2026-04-25T22:35:55.197406Z [info     ] Processed markdown             [markdown2chunks.pipeline] chunks=1 file=报告-乌克兰新能源市场机会调研报告.md
2026-04-25T22:35:55.197406Z [info     ] Processing markdown            [markdown2chunks.pipeline] file=报告-兆瓦云调研报告：虚拟电厂的下一城在哪里？.md
2026-04-25T22:35:55.203507Z [info     ] Processed markdown             [markdown2chunks.pipeline] chunks=1 file=报告-兆瓦云调研报告：虚拟电厂的下一城在哪里？.md
2026-04-25T22:35:55.206519Z [info     ] Processing markdown            [markdown2chunks.pipeline] file=报告-则鸣新能源调研报告：怎么样做好微电网？.md
2026-04-25T22:35:55.212393Z [info     ] Processed markdown             [markdown2chunks.pipeline] chunks=1 file=报告-则鸣新能源调研报告：怎么样做好微电网？.md
2026-04-25T22:35:55.212894Z [info     ] Processing markdown            [markdown2chunks.pipeline] file=报告-协鑫能科调研报告：江苏最大虚拟电厂是怎么做成的？.md
2026-04-25T22:35:55.218447Z [info     ] Processed markdown             [markdown2chunks.pipeline] chunks=1 file=报告-协鑫能科调研报告：江苏最大虚拟电厂是怎么做成的？.md
2026-04-25T22:35:55.220088Z [info     ] Processing markdown            [markdown2chunks.pipeline] file=报告-固德威一线调研报告：城市级虚拟电厂怎么做？.md
2026-04-25T22:35:55.226281Z [info     ] Processed markdown             [markdown2chunks.pipeline] chunks=1 file=报告-固德威一线调研报告：城市级虚拟电厂怎么做？.md
2026-04-25T22:35:55.227278Z [info     ] Processing markdown            [markdown2chunks.pipeline] file=报告-固德威江西德安县调研报告：光储充一体化项目怎么做？.md
2026-04-25T22:35:55.231883Z [info     ] Processed markdown             [markdown2chunks.pipeline] chunks=1 file=报告-固德威江西德安县调研报告：光储充一体化项目怎么做？.md
2026-04-25T22:35:55.231883Z [info     ] Processing markdown            [markdown2chunks.pipeline] file=报告-国海绿能一线调研报告：重卡换电站怎么做？.md
2026-04-25T22:35:55.238111Z [info     ] Processed markdown             [markdown2chunks.pipeline] chunks=1 file=报告-国海绿能一线调研报告：重卡换电站怎么做？.md
2026-04-25T22:35:55.238111Z [info     ] Processing markdown            [markdown2chunks.pipeline] file=报告-奇峰聚能调研报告：飞轮储能怎么做？.md
2026-04-25T22:35:55.243626Z [info     ] Processed markdown             [markdown2chunks.pipeline] chunks=1 file=报告-奇峰聚能调研报告：飞轮储能怎么做？.md
2026-04-25T22:35:55.244667Z [info     ] Processing markdown            [markdown2chunks.pipeline] file=报告-安悦节能调研报告：怎样做冷热电综合能源服务？.md
